time,open,high,low,close,tick_volume,spread,real_volume
2026-01-27 10:51:00,5081.44,5081.87,5079.35,5079.68,315,12,0
2026-01-27 10:52:00,5079.68,5080.37,5079.35,5080.23,275,12,0
2026-01-27 10:53:00,5080.23,5080.35,5077.52,5078.05,370,15,0
2026-01-27 10:54:00,5078.03,5081.11,5077.92,5080.57,339,12,0
2026-01-27 10:55:00,5080.55,5082.55,5079.58,5081.56,526,12,0
2026-01-27 10:56:00,5081.56,5083.65,5081.56,5082.58,557,12,0
2026-01-27 10:57:00,5082.58,5083.35,5081.41,5082.12,405,12,0
2026-01-27 10:58:00,5082.11,5082.67,5080.45,5080.52,351,12,0
2026-01-27 10:59:00,5080.49,5080.64,5079.24,5079.38,341,16,0
2026-01-27 11:00:00,5079.4,5080.82,5077.86,5079.53,528,12,0
2026-01-27 11:01:00,5079.55,5081.33,5078.87,5079.3,556,12,0
2026-01-27 11:02:00,5079.3,5081.22,5078.33,5080.57,517,13,0
2026-01-27 11:03:00,5080.57,5081.06,5079.54,5081.0,409,12,0
2026-01-27 11:04:00,5080.9,5081.53,5080.31,5081.09,294,12,0
2026-01-27 11:05:00,5081.12,5083.2,5080.3,5081.81,642,12,0
2026-01-27 11:06:00,5081.81,5082.25,5079.76,5080.61,450,12,0
2026-01-27 11:07:00,5080.58,5080.67,5079.35,5080.15,333,12,0
2026-01-27 11:08:00,5080.15,5082.24,5079.48,5082.14,559,12,0
2026-01-27 11:09:00,5082.14,5082.56,5080.94,5082.14,494,12,0
2026-01-27 11:10:00,5082.14,5082.5,5081.45,5082.35,481,12,0
2026-01-27 11:11:00,5082.34,5083.82,5081.97,5083.8,525,12,0
2026-01-27 11:12:00,5083.8,5083.8,5082.2,5082.88,306,12,0
2026-01-27 11:13:00,5082.88,5084.1,5081.9,5083.97,450,14,0
2026-01-27 11:14:00,5083.96,5083.98,5082.42,5083.26,514,12,0
2026-01-27 11:15:00,5083.26,5084.13,5082.84,5083.28,453,12,0
2026-01-27 11:16:00,5083.28,5084.96,5082.39,5082.51,539,17,0
2026-01-27 11:17:00,5082.53,5084.18,5082.27,5083.88,365,16,0
2026-01-27 11:18:00,5083.88,5085.0,5083.1,5084.66,458,12,0
2026-01-27 11:19:00,5084.64,5086.56,5084.09,5086.1,447,12,0
2026-01-27 11:20:00,5086.1,5086.52,5085.32,5085.44,449,12,0
2026-01-27 11:21:00,5085.44,5086.82,5084.96,5086.48,368,12,0
2026-01-27 11:22:00,5086.48,5087.12,5085.35,5086.51,380,16,0
2026-01-27 11:23:00,5086.51,5087.46,5086.39,5087.08,375,12,0
2026-01-27 11:24:00,5087.09,5087.36,5084.91,5084.97,487,13,0
2026-01-27 11:25:00,5084.97,5086.61,5084.76,5086.05,630,12,0
2026-01-27 11:26:00,5086.14,5087.8,5086.13,5087.65,592,15,0
2026-01-27 11:27:00,5087.65,5088.14,5085.27,5086.3,624,12,0
2026-01-27 11:28:00,5086.29,5088.11,5085.99,5086.37,431,12,0
2026-01-27 11:29:00,5086.37,5088.55,5086.13,5088.33,337,12,0
2026-01-27 11:30:00,5088.33,5088.54,5086.39,5086.65,445,12,0
2026-01-27 11:31:00,5086.65,5087.33,5086.11,5087.03,389,13,0
2026-01-27 11:32:00,5087.05,5087.16,5086.02,5086.73,388,12,0
2026-01-27 11:33:00,5086.73,5089.98,5086.73,5089.88,394,12,0
2026-01-27 11:34:00,5089.88,5090.21,5088.88,5089.53,388,14,0
2026-01-27 11:35:00,5089.53,5090.58,5089.15,5090.18,399,12,0
2026-01-27 11:36:00,5090.17,5091.02,5089.57,5090.16,374,16,0
2026-01-27 11:37:00,5090.16,5091.08,5088.91,5090.73,571,12,0
2026-01-27 11:38:00,5090.73,5093.68,5090.41,5093.42,456,12,0
2026-01-27 11:39:00,5093.38,5094.01,5091.91,5092.86,517,12,0
2026-01-27 11:40:00,5092.86,5093.04,5090.32,5090.4,508,12,0
2026-01-27 11:41:00,5090.4,5091.45,5090.19,5090.92,433,12,0
2026-01-27 11:42:00,5090.92,5090.96,5090.03,5090.26,367,12,0
2026-01-27 11:43:00,5090.26,5090.48,5089.37,5090.03,362,12,0
2026-01-27 11:44:00,5090.03,5090.14,5088.05,5088.08,484,12,0
2026-01-27 11:45:00,5088.08,5088.56,5083.7,5084.06,574,12,0
2026-01-27 11:46:00,5084.06,5086.39,5083.02,5086.25,819,12,0
2026-01-27 11:47:00,5086.25,5087.03,5085.77,5086.16,551,12,0
2026-01-27 11:48:00,5086.16,5088.8,5086.16,5088.73,432,12,0
2026-01-27 11:49:00,5088.7,5089.45,5087.42,5088.22,526,12,0
2026-01-27 11:50:00,5088.22,5090.3,5088.18,5089.82,399,12,0
2026-01-27 11:51:00,5089.82,5092.29,5089.82,5091.94,341,15,0
2026-01-27 11:52:00,5091.94,5096.83,5091.65,5095.19,1200,12,0
2026-01-27 11:53:00,5095.17,5097.52,5095.06,5096.5,912,12,0
2026-01-27 11:54:00,5096.5,5097.0,5094.86,5095.39,793,12,0
2026-01-27 11:55:00,5095.45,5095.73,5092.46,5092.8,679,12,0
2026-01-27 11:56:00,5092.8,5094.15,5092.28,5094.15,488,12,0
2026-01-27 11:57:00,5094.15,5095.67,5093.65,5094.0,558,13,0
2026-01-27 11:58:00,5094.0,5096.89,5093.62,5096.84,464,12,0
2026-01-27 11:59:00,5096.84,5099.52,5096.74,5098.53,532,12,0
